location_id,location_name,location_type,address,description,latitude,longitude
111,"Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL",Project Site,"Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL",,26.448792003304,-81.803409304378
112,"19980 Bella Terra Boulevard, Estero, FL",Project Site,"19980 Bella Terra Boulevard, Estero, FL",,26.450582796918,-81.73115952021
113,"21450 Strada Nuova Circle, Estero, FL",NAMED_VENUE,"21450 Strada Nuova Circle, Estero, FL",,26.428168875365,-81.804317441678
114,Cypress Cove at Wildcat Run Condominium,NEIGHBORHOOD,Cypress Cove at Wildcat Run Condominium,,26.44468674839979,-81.74528909824977
115,10251 ARCOS AVE,PARCEL_ADDRESS,10251 ARCOS AVE,,26.433481009353372,-81.78575313231335
116,Avalon at Grandezza Condominium,NEIGHBORHOOD,Avalon at Grandezza Condominium,,26.44124231180666,-81.76991455364423
117,19701 S TAMIAMI TRL,PARCEL_ADDRESS,19701 S TAMIAMI TRL,,26.45400113110861,-81.82155996077842
118,22910 LYDEN DR,PARCEL_ADDRESS,22910 LYDEN DR,,26.40558748660281,-81.81256928300715
119,20300 COUNTRY CLUB DR,PARCEL_ADDRESS,20300 COUNTRY CLUB DR,,26.435736902147063,-81.74958822940889
120,"Commons Club at The Brooks, Estero, FL",Project Site,"Commons Club at The Brooks, Estero, FL",,26.3974648,-81.7889557
121,"Coconut Road & Oakwilde Boulevard, Estero, FL",Project Site,"Coconut Road & Oakwilde Boulevard, Estero, FL",,26.398580002784,-81.798864007834
122,"Miromar Outlets, Estero, FL",Project Site,"Miromar Outlets, Estero, FL",,26.438084,-81.772808
123,21530 STRADA NUOVA CIR,PARCEL_ADDRESS,21530 STRADA NUOVA CIR,,26.429822613028506,-81.8043248748102
124,WILLIAMS RD & THREE OAKS PKWY,INTERSECTION,WILLIAMS RD & THREE OAKS PKWY,,26.4203700396588,-81.7883783801721
125,"8801 Corkscrew Road, Estero, FL",Project Site,"8801 Corkscrew Road, Estero, FL",,26.434598214195,-81.807374237947
126,"Williams Road from US 41 to Via Coconut Point, Estero, FL",Project Site,"Williams Road from US 41 to Via Coconut Point, Estero, FL",,26.420397237605,-81.80904475125
127,"Williams Road & Via Coconut Point, Estero, FL",Project Site,"Williams Road & Via Coconut Point, Estero, FL",,26.42047948503,-81.806570497251
128,Pelican Sound Subdivision,NEIGHBORHOOD,Pelican Sound Subdivision,,26.42929045220349,-81.82471928963577
129,"Sunny Grove, Estero, FL",NAMED_VENUE,"Sunny Grove, Estero, FL",,26.4376,-81.8128
130,"Estero River Park (Village property), northeast corner of US 41 and Corkscrew Road, Estero, FL",Project Site,"Estero River Park (Village property), northeast corner of US 41 and Corkscrew Road, Estero, FL",,26.432555,-81.80817
131,"Stoneybrook, Estero, FL",NAMED_VENUE,"Stoneybrook, Estero, FL",,26.4298062,-81.7679548
132,12840 Corkscrew Road,General Area,"12840 Corkscrew Road, Estero, FL",,,
133,20161 Camellia Crosse Lane,General Area,"20161 Camellia Crosse Lane, Estero, FL",,,
134,23421 WALDEN CENTER DR,PARCEL_ADDRESS,23421 WALDEN CENTER DR,,26.396727649271075,-81.81122295278746
135,22961 Lyden Drive,General Area,"22961 Lyden Drive, Estero, FL",,,
136,Corkscrew Woodlands Subdivision,NEIGHBORHOOD,Corkscrew Woodlands Subdivision,,26.424061060167862,-81.77959546794243
137,"Koreshan State Park, Estero, FL",NAMED_VENUE,"Koreshan State Park, Estero, FL",,26.4368409,-81.8180833
138,"8790 Broadway Avenue East, Estero, FL",Project Site,"8790 Broadway Avenue East, Estero, FL",,26.440585868638,-81.806135895572
139,"Ben Hill Griffin Parkway & Everblades Parkway North, Estero, FL",Project Site,"Ben Hill Griffin Parkway & Everblades Parkway North, Estero, FL",,26.443920189721,-81.773684686876
140,10351 Corkscrew Commons Drive,General Area,"10351 Corkscrew Commons Drive, Estero, FL",,,
141,"Corkscrew Road at Stoneybrook Golf Drive, Estero, FL",Project Site,"Corkscrew Road at Stoneybrook Golf Drive, Estero, FL",,26.439657614771,-81.762920730637
142,"Shadow Wood Country Club Lifestyle Center, Estero, FL",Project Site,"Shadow Wood Country Club Lifestyle Center, Estero, FL",,26.407365,-81.789795
143,"Via Coconut Point from Coconut Road to Corkscrew Road, Estero, FL",Project Site,"Via Coconut Point from Coconut Road to Corkscrew Road, Estero, FL",,26.420479,-81.80657
144,"Mayfair Village site between Broadway Avenue East and Sandy Lane, Estero, FL",Project Site,"Mayfair Village site between Broadway Avenue East and Sandy Lane, Estero, FL",,26.43890234243,-81.805657540358
145,8420 MURANO DEL LAGO DR,PARCEL_ADDRESS,8420 MURANO DEL LAGO DR,,26.391199708507013,-81.80905839333157
146,19511 Highlands Oaks Drive,General Area,"19511 Highlands Oaks Drive, Estero, FL",,,
147,20320 GRANDE OAK SHOPPES BLVD,PARCEL_ADDRESS,20320 GRANDE OAK SHOPPES BLVD,,26.437023507620733,-81.76987508479715
148,10251 Arcos Avenue,General Area,"10251 Arcos Avenue, Estero, FL",,,
149,21580 RIVER RANCH RD,PARCEL_ADDRESS,21580 RIVER RANCH RD,,26.426366236141643,-81.7957610238013
150,"10500 Corkscrew Road, Estero, FL",Project Site,"10500 Corkscrew Road, Estero, FL",,26.430907704137,-81.783054229702
151,Riverwoods Plantation Condominium,NEIGHBORHOOD,Riverwoods Plantation Condominium,,26.44551087014053,-81.83135830974891
152,10150 ARCOS AVE,PARCEL_ADDRESS,10150 ARCOS AVE,,26.4323387671025,-81.78783499987172
153,along Williams Road,WHOLE_STREET,along Williams Road,,26.420210096558677,-81.81166992220037
154,"The Brooks Town Center, Estero, FL",Project Site,"The Brooks Town Center, Estero, FL",,26.396617,-81.786171
155,"Pelican Sound Golf & River Club, Estero, FL",Project Site,"Pelican Sound Golf & River Club, Estero, FL",,26.4360814,-81.8298334
156,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",Project Site,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",,26.43663000848,-81.804926512673
157,20318 Sherrill Lane,General Area,"20318 Sherrill Lane, Estero, FL",,,
158,"Coconut Road from US 41 to Via Coconut Point, Estero, FL",Project Site,"Coconut Road from US 41 to Via Coconut Point, Estero, FL",,26.398474495578,-81.808064278126
159,"Estero Parkway & Three Oaks Parkway, Estero, FL",Project Site,"Estero Parkway & Three Oaks Parkway, Estero, FL",,26.449389004358,-81.788946037082
160,"Estero Townhomes EPD site, 9301 Corkscrew Road, Estero, FL",Project Site,"Estero Townhomes EPD site, 9301 Corkscrew Road, Estero, FL",,26.432264859989,-81.801155452524
161,"Coconut Pointe Residences at Brooks Town Center site, Estero, FL",Project Site,"Coconut Pointe Residences at Brooks Town Center site, Estero, FL",,26.39711,-81.78531
162,10640 CHEVROLET WAY,PARCEL_ADDRESS,10640 CHEVROLET WAY,,26.430182136164337,-81.77888336722721
163,23161 Village Shops Way,General Area,"23161 Village Shops Way, Estero, FL",,,
164,"10081 Estero Town Commons Place, Estero, FL",Project Site,"10081 Estero Town Commons Place, Estero, FL",,26.430921743825,-81.785430080157
165,3231 COCONUT RD,PARCEL_ADDRESS,3231 COCONUT RD,,26.397287176635327,-81.81527773523757
166,"8400 Murano Del Lago Drive, Estero, FL",Project Site,"8400 Murano Del Lago Drive, Estero, FL",,26.3916729,-81.8086935
167,"Tidewater by Del Webb, Estero, FL",Project Site,"Tidewater by Del Webb, Estero, FL",,26.4462,-81.7765
168,00023 Via Coconut Ordinance No,General Area,"00023 Via Coconut Ordinance No, Estero, FL",,,
169,10801 CORKSCREW RD,PARCEL_ADDRESS,10801 CORKSCREW RD,,26.436264784102917,-81.77458415265197
170,Tides at Pelican Landing Subdivision,NEIGHBORHOOD,Tides at Pelican Landing Subdivision,,26.395281758063803,-81.81280564789286
171,1962 Federal Aid Highway,General Area,"1962 Federal Aid Highway, Estero, FL",,,
172,"9401 Corkscrew Palms Circle, Estero, FL",Project Site,"9401 Corkscrew Palms Circle, Estero, FL",,26.430490662544,-81.799280001688
173,21180 COUNTRY CREEK DR,PARCEL_ADDRESS,21180 COUNTRY CREEK DR,,26.437389192896752,-81.79482782963828
174,10081 ESTERO TOWN COMMONS PL,PARCEL_ADDRESS,10081 ESTERO TOWN COMMONS PL,,26.43076631928911,-81.78522309388235
175,21681 PELICAN SOUND DR,PARCEL_ADDRESS,21681 PELICAN SOUND DR,,26.426821246198617,-81.81254924478783
176,22604 S. Tamiami Trail,General Area,"22604 S. Tamiami Trail, Estero, FL",,,
177,"11000 Everblades Parkway, Estero, FL",Project Site,"11000 Everblades Parkway, Estero, FL",,26.440541,-81.77872
178,20481 PLANTATION BLVD,PARCEL_ADDRESS,20481 PLANTATION BLVD,,26.442851624532015,-81.83135034257168
179,8001 Via Rapallo Drive,General Area,"8001 Via Rapallo Drive, Estero, FL",,,
180,Wildblue Subdivision,NEIGHBORHOOD,Wildblue Subdivision,,26.4712167943269,-81.74053465372089
181,"Marketplace at Coconut Point, 22780 Via Villagio, Estero, FL",Project Site,"Marketplace at Coconut Point, 22780 Via Villagio, Estero, FL",,26.413657789311,-81.811493859539
182,ESTERO PKWY EXT & BEN HILL GRIFFIN PKWY,INTERSECTION,ESTERO PKWY EXT & BEN HILL GRIFFIN PKWY,,26.4494494986795,-81.7745225786558
183,Cascades at Estero Subdivision,NEIGHBORHOOD,Cascades at Estero Subdivision,,26.445926882167896,-81.80216655230441
184,San Carlos Community Pool,NAMED_VENUE,San Carlos Community Pool,,26.472200171612343,-81.81472550367627
185,"Corkscrew Road from I-75 to Ben Hill Griffin Parkway, Estero, FL",Project Site,"Corkscrew Road from I-75 to Ben Hill Griffin Parkway, Estero, FL",,26.434333052689,-81.774029266916
186,"US 41 from Williams Road to Estero Parkway, Estero, FL",Project Site,"US 41 from Williams Road to Estero Parkway, Estero, FL",,26.434255,-81.814695788461
187,along Three Oaks Parkway,WHOLE_STREET,along Three Oaks Parkway,,26.43322615964779,-81.78756454009005
188,645 feet south of Salerno Bay Road,ANCHORED_OFFSET,645 feet south of Salerno Bay Road,,26.390572486797655,-81.78268526206986
189,20771 S TAMIAMI TRL,PARCEL_ADDRESS,20771 S TAMIAMI TRL,,26.438067892298672,-81.81034230320134
190,"10041 Estero Town Commons Place, Estero, FL",Project Site,"10041 Estero Town Commons Place, Estero, FL",,26.4306485776,-81.787676765485
191,22770 S TAMIAMI TRL,PARCEL_ADDRESS,22770 S TAMIAMI TRL,,26.410611816525495,-81.81283797603913
192,"Williams Road & Baybridge Boulevard, Estero, FL",Project Site,"Williams Road & Baybridge Boulevard, Estero, FL",,26.419972358933,-81.832872657959
193,"Summercrest / Estero Townhomes site, 9301 Corkscrew Road, Estero, FL",Project Site,"Summercrest / Estero Townhomes site, 9301 Corkscrew Road, Estero, FL",,26.432264859989,-81.801155452524
194,20275 SHERRILL LN,PARCEL_ADDRESS,20275 SHERRILL LN,,26.4462424982507,-81.82850106089776
195,8009 SWEETWATER RANCH BLVD,PARCEL_ADDRESS,8009 SWEETWATER RANCH BLVD,,26.41181500803066,-81.80949049712162
196,20280 Grand Oaks Shoppes Boulevard,General Area,"20280 Grand Oaks Shoppes Boulevard, Estero, FL",,,
197,COUNTY RD & HIGHLANDS AV,INTERSECTION,COUNTY RD & HIGHLANDS AV,,26.4369968537222,-81.8089779384038
198,along Estero Parkway,WHOLE_STREET,along Estero Parkway,,26.449247750065645,-81.79628353545071
199,"Three Oaks Parkway & Oakwilde Boulevard, Estero, FL",Project Site,"Three Oaks Parkway & Oakwilde Boulevard, Estero, FL",,26.413073989755,-81.785739540023
200,22942 Lyden Lane,General Area,"22942 Lyden Lane, Estero, FL",,,
201,WILLIAMS RD & ATLANTIC GULF BLVD,INTERSECTION,WILLIAMS RD & ATLANTIC GULF BLVD,,26.4202187405292,-81.8164404839566
202,20248 LUETTICH LN,PARCEL_ADDRESS,20248 LUETTICH LN,,26.446753561708146,-81.82810422512709
203,"12840 Corkscrew Road, Estero, FL",Project Site,"12840 Corkscrew Road, Estero, FL",,26.449146368339,-81.742899851451
204,9975 CORKSCREW RD,PARCEL_ADDRESS,9975 CORKSCREW RD,,26.432064604150423,-81.78949228466479
205,Tidewater Subdivision,NEIGHBORHOOD,Tidewater Subdivision,,26.44579161420031,-81.77837751443633
206,22941 Lyden Drive,General Area,"22941 Lyden Drive, Estero, FL",,,
207,4741 BROADWAY W,PARCEL_ADDRESS,4741 BROADWAY W,,26.44143915958968,-81.8334326479997
208,9501 Vintage Trace Circle,General Area,"9501 Vintage Trace Circle, Estero, FL",,,
209,CORKSCREW RD & SANDY LN,INTERSECTION,CORKSCREW RD & SANDY LN,,26.431204211573,-81.8037443415935
210,10800 CORKSCREW RD,PARCEL_ADDRESS,10800 CORKSCREW RD,,26.432337818892933,-81.77458455039597
211,21250 HAPPY HOLLOW LN,PARCEL_ADDRESS,21250 HAPPY HOLLOW LN,,26.43100891473684,-81.80627237841547
212,9870 Horne Lane,General Area,"9870 Horne Lane, Estero, FL",,,
213,"Williams Road at Estero High School, Estero, FL",Project Site,"Williams Road at Estero High School, Estero, FL",,26.422301,-81.798178
214,TRAILSIDE DR & POINCIANA AV,INTERSECTION,TRAILSIDE DR & POINCIANA AV,,26.4437985295955,-81.8130436513598
215,20511 PORT DR,PARCEL_ADDRESS,20511 PORT DR,,26.441805895225407,-81.82436864425183
216,3548 CHERRY BLOSSOM CT 101,PARCEL_ADDRESS,3548 CHERRY BLOSSOM CT 101,,26.423090922086303,-81.8151692312548
217,8401 MOCKINGBIRD LN,PARCEL_ADDRESS,8401 MOCKINGBIRD LN,,26.440986791396274,-81.8085330982752
218,4406 And 4410 Coconut Road,General Area,"4406 And 4410 Coconut Road, Estero, FL",,,
219,20170 S TAMIAMI TRL,PARCEL_ADDRESS,20170 S TAMIAMI TRL,,26.446129441340606,-81.81579980052186
220,4406 and 4410 Coconut Road,General Area,"4406 and 4410 Coconut Road, Estero, FL",,,
221,20031 SEAGROVE ST 1401,PARCEL_ADDRESS,20031 SEAGROVE ST 1401,,26.448417322049917,-81.76565306133051
222,22350 S Tamiami Trail,General Area,"22350 S Tamiami Trail, Estero, FL",,,
223,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",Project Site,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",,26.443916962688,-81.750022322755
